"Andrew Park",,,,
"Barry Bruton",,,,
"Ben Manton","Q98273690","2015 United Kingdom general election","Belfast South","Northern Ireland Conservatives"
"Boyd Black",,,,
"Brenda Cooke",,,,
"Brigitte Anton",,,,
"Charles Smyth",,,,
"Christopher Stalford",,,,
"Clare Bailey","Q24052779","2019 European Parliament election in the United Kingdom","Northern Ireland","Green Party in Northern Ireland"
"David Hoey",,,,
"Duncan Morrow",,,,
"Emmet McDonough-Brown",,,,
"Ernie Purvis",,,,
"Geoffrey Wilson",,,,
"George Jabbour",,,,
"Geraldine Rice","Q98273782","2005 United Kingdom general election","Belfast South","Alliance Party of Northern Ireland"
"Gerard Carr","Q98273784","1987 United Kingdom general election","Belfast South","Workers' Party of Ireland"
"Grant Dillon",,,,
"Ian Shanks",,,,
"James Anderson","Q98272018","1999 European Parliament election in the United Kingdom","Northern Ireland","Natural Law Party"
"Jean Graham",,,,
"Jim Barbour",,,,
"John Hiddleston",,,,
"John Hiddlestone",,,,
"John Houston",,,,
"John Somerville",,,,
"Lily Kerr","Q98273872","2015 United Kingdom general election","Belfast South","Workers' Party of Ireland"
"Lindsay Steven",,,,
"Mark Finlay",,,,
"Martin Gowdy",,,,
"Michael Henderson","Q76119839","2019 United Kingdom general election","Belfast South","Ulster Unionist Party"
"Michael Warden",,,,
"Myreve Chambers",,,,
"Naomh Gallagher",,,,
"Niall Cusack","Q98273956","1997 United Kingdom general election","Belfast South","independent politician"
"Nico Torregrosa",,,,
"Paddy Lynn","Q98273960","2005 United Kingdom general election","Belfast South","Workers' Party of Ireland"
"Paddy Meehan",,,,
"Patrick Lynn",,,,
"Philip Moles",,,,
"Pádraigín Mervyn",,,,
"Raymond Jordan",,,,
"Robert McNeice",,,,
"Robert Stewart",,,,
"Rodney McCune","Q98263744","2015 United Kingdom general election","Belfast South","Ulster Unionist Party"
"Roger Lomas",,,,
"Ruth Patterson",,,,
"Sean Flynn",,,,
"Sean Hayes",,,,
"Seán Burns",,,,
"Stanley Morgan",,,,
"Stuart Hall Raleigh",,,,
"Thomas Morrow",,,,
"Thomas Rea",,,,
"Thomas Wright",,,,
"William Clulow",,,,
"William Dixon",,,,
"William McCollum",,,,
