id,name,party,partyLabel,votes,election,electionLabel,ranking
Q13586248,Máirtín Ó Muilleoir,Q76382,Sinn Féin,7610,Q28231972,2017 Assembly election,1
Q20631177,Claire Hanna,Q175443,Social Democratic and Labour Party,8652.54,Q28231972,2017 Assembly election,2
Q24052780,Paula Bradshaw,Q244927,Alliance Party of Northern Ireland,7690.38,Q28231972,2017 Assembly election,3
Q24052778,Christopher Stalford,Q215519,Democratic Unionist Party,8667.50,Q28231972,2017 Assembly election,4
Q24052779,Clare Bailey,Q1096979,Green Party in Northern Ireland,6797.22,Q28231972,2017 Assembly election,5
,Michael Henderson,Q841045,Ulster Unionist Party,5255.94,Q28231972,2017 Assembly election,6
Q21234823,Emma Little-Pengelly,Q215519,Democratic Unionist Party,4703.26,Q28231972,2017 Assembly election,7
,Emmet McDonough-Brown,Q244927,Alliance Party of Northern Ireland,2185.34,Q28231972,2017 Assembly election,8
,Naomh Gallagher,Q175443,Social Democratic and Labour Party,1962.22,Q28231972,2017 Assembly election,9
,Pádraigín Mervyn,Q3545406,People Before Profit Alliance,970.86,Q28231972,2017 Assembly election,10
,John Hiddleston,Q985076,Traditional Unionist Voice,724.48,Q28231972,2017 Assembly election,11
,Seán Burns,Q24083594,Cross-Community Labour Alternative,566.42,Q28231972,2017 Assembly election,12
,George Jabbour,Q7058484,Northern Ireland Conservatives,200.48,Q28231972,2017 Assembly election,13
,Lily Kerr,Q1860218,Workers' Party of Ireland,168.22,Q28231972,2017 Assembly election,14
Q13586248,Máirtín Ó Muilleoir,Q76382,Sinn Féin,5247,Q16973450,2016 Assembly election,1
Q24052780,Paula Bradshaw,Q244927,Alliance Party of Northern Ireland,5729,Q16973450,2016 Assembly election,2
Q20631177,Claire Hanna,Q175443,Social Democratic and Labour Party,7641.50,Q16973450,2016 Assembly election,3
Q24052779,Clare Bailey,Q1096979,Green Party in Northern Ireland,6056.75,Q16973450,2016 Assembly election,4
Q21234823,Emma Little-Pengelly,Q215519,Democratic Unionist Party,5150,Q16973450,2016 Assembly election,5
Q24052778,Christopher Stalford,Q215519,Democratic Unionist Party,4409.25,Q16973450,2016 Assembly election,6
,Rodney McCune,Q841045,Ulster Unionist Party,3449.50,Q16973450,2016 Assembly election,7
Q5439436,Fearghal McKinney,Q175443,Social Democratic and Labour Party,3104.75,Q16973450,2016 Assembly election,8
,Duncan Morrow,Q244927,Alliance Party of Northern Ireland,2837,Q16973450,2016 Assembly election,9
Q4934101,Bob Stoker,Q10647,UK Independence Party,1025,Q16973450,2016 Assembly election,10
,Seán Burns,Q24083594,Cross-Community Labour Alternative,989,Q16973450,2016 Assembly election,11
,John Hiddleston,Q985076,Traditional Unionist Voice,685,Q16973450,2016 Assembly election,12
,Ruth Patterson,Q327591,Independent (politician),571,Q16973450,2016 Assembly election,13
,Ian Shanks,Q1817613,Progressive Unionist Party,444,Q16973450,2016 Assembly election,14
Q16466462,William Dickson,Q98305797,South Belfast Unionists,359,Q16973450,2016 Assembly election,15
,Brigitte Anton,Q20642359,Northern Ireland Labour Representation Committee,258,Q16973450,2016 Assembly election,16
,Lily Kerr,Q1860218,Workers' Party of Ireland,241,Q16973450,2016 Assembly election,17
,Ben Manton,Q7058484,Northern Ireland Conservatives,161,Q16973450,2016 Assembly election,18
Q434460,Anna Lo,Q244927,Alliance Party of Northern Ireland,6390,Q7058474,2011 Assembly Election,1
Q583571,Alasdair McDonnell,Q175443,Social Democratic and Labour Party,4916.10,Q7058474,2011 Assembly Election,2
Q6832692,Michael McGimpsey,Q841045,Ulster Unionist Party,4622.05,Q7058474,2011 Assembly Election,3
Q1116655,Alex Maskey,Q76382,Sinn Féin,4452.05,Q7058474,2011 Assembly Election,4
Q5158089,Conall McDevitt,Q175443,Social Democratic and Labour Party,4444.80,Q7058474,2011 Assembly Election,5
Q6201345,Jimmy Spratt,Q215519,Democratic Unionist Party,4281.45,Q7058474,2011 Assembly Election,6
,Ruth Patterson,Q215519,Democratic Unionist Party,4163.40,Q7058474,2011 Assembly Election,7
,Clare Bailey,Q1096979,Green Party in Northern Ireland,1655.60,Q7058474,2011 Assembly Election,8
,Mark Finlay,Q841045,Ulster Unionist Party,1617.70,Q7058474,2011 Assembly Election,9
Q16192696,Brian Faloon,Q3545406,People Before Profit Alliance,480.05,Q7058474,2011 Assembly Election,10
